unit_cost,c1_holding,c2_ordering,c3_stockout,total_saving,delta_ss
100,1654.7440105901583,341.3215859030838,268.20000000000033,2264.2655964932424,2.8929091094233534
110,1820.218411649174,341.3215859030838,295.0200000000003,2456.559997552258,2.8929091094233534
120,1985.6928127081894,341.3215859030838,321.8400000000004,2648.8543986112736,2.8929091094233534
130,2151.167213767206,341.3215859030838,348.6600000000004,2841.14879967029,2.8929091094233534
140,2316.6416148262215,341.3215859030838,375.4800000000004,3033.4432007293058,2.8929091094233534
150,2482.116015885237,341.3215859030838,402.30000000000047,3225.7376017883216,2.8929091094233534
160,2647.590416944253,341.3215859030838,429.12000000000046,3418.032002847337,2.8929091094233534
170,2813.064818003269,341.3215859030838,455.9400000000005,3610.3264039063533,2.8929091094233534
180,2978.5392190622842,341.3215859030838,482.76000000000056,3802.6208049653687,2.8929091094233534
190,3144.013620121301,341.3215859030838,509.58000000000055,3994.915206024385,2.8929091094233534
200,3309.4880211803165,341.3215859030838,536.4000000000007,4187.209607083401,2.8929091094233534
210,3474.962422239332,341.3215859030838,563.2200000000006,4379.504008142417,2.8929091094233534
220,3640.436823298348,341.3215859030838,590.0400000000006,4571.798409201432,2.8929091094233534
230,3805.9112243573636,341.3215859030838,616.8600000000007,4764.0928102604485,2.8929091094233534
240,3971.385625416379,341.3215859030838,643.6800000000007,4956.387211319463,2.8929091094233534
250,4136.860026475395,341.3215859030838,670.5000000000008,5148.68161237848,2.8929091094233534
260,4302.334427534412,341.3215859030838,697.3200000000008,5340.9760134374965,2.8929091094233534
270,4467.808828593427,341.3215859030838,724.1400000000008,5533.270414496512,2.8929091094233534
280,4633.283229652443,341.3215859030838,750.9600000000008,5725.564815555528,2.8929091094233534
290,4798.757630711459,341.3215859030838,777.7800000000009,5917.859216614543,2.8929091094233534
300,4964.232031770474,341.3215859030838,804.6000000000009,6110.15361767356,2.8929091094233534
310,5129.70643282949,341.3215859030838,831.420000000001,6302.448018732574,2.8929091094233534
320,5295.180833888506,341.3215859030838,858.2400000000009,6494.742419791591,2.8929091094233534
330,5460.655234947522,341.3215859030838,885.060000000001,6687.036820850608,2.8929091094233534
340,5626.129636006538,341.3215859030838,911.880000000001,6879.331221909622,2.8929091094233534
350,5791.604037065554,341.3215859030838,938.7000000000011,7071.625622968639,2.8929091094233534
360,5957.0784381245685,341.3215859030838,965.5200000000011,7263.920024027654,2.8929091094233534
370,6122.552839183585,341.3215859030838,992.3400000000012,7456.21442508667,2.8929091094233534
380,6288.027240242602,341.3215859030838,1019.1600000000011,7648.508826145687,2.8929091094233534
390,6453.5016413016165,341.3215859030838,1045.9800000000012,7840.803227204702,2.8929091094233534
400,6618.976042360633,341.3215859030838,1072.8000000000013,8033.097628263718,2.8929091094233534
410,6784.450443419648,341.3215859030838,1099.6200000000013,8225.392029322733,2.8929091094233534
420,6949.924844478664,341.3215859030838,1126.4400000000012,8417.68643038175,2.8929091094233534
430,7115.39924553768,341.3215859030838,1153.2600000000014,8609.980831440766,2.8929091094233534
440,7280.873646596696,341.3215859030838,1180.0800000000013,8802.275232499782,2.8929091094233534
450,7446.348047655712,341.3215859030838,1206.9000000000015,8994.569633558798,2.8929091094233534
460,7611.822448714727,341.3215859030838,1233.7200000000014,9186.864034617813,2.8929091094233534
470,7777.296849773744,341.3215859030838,1260.5400000000013,9379.158435676829,2.8929091094233534
480,7942.771250832758,341.3215859030838,1287.3600000000015,9571.452836735843,2.8929091094233534
490,8108.245651891775,341.3215859030838,1314.1800000000014,9763.747237794862,2.8929091094233534
500,8273.72005295079,341.3215859030838,1341.0000000000016,9956.041638853876,2.8929091094233534
